"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
2005,103,"JPStevens",-2.847,0.441,-2.825,-3.759,-2.04
2006,103,"JPStevens",-2.807,0.443,-2.786,-3.732,-2
2007,103,"JPStevens",-2.688,0.462,-2.671,-3.645,-1.846
2008,103,"JPStevens",-2.855,0.477,-2.827,-3.854,-1.998
2009,103,"JPStevens",-2.864,0.534,-2.841,-3.998,-1.9
1937,68,"LDBrandeis",-0.607,0.274,-0.6,-1.172,-0.091
1938,68,"LDBrandeis",-0.611,0.311,-0.6,-1.237,-0.026
1971,101,"LFPowell",1.4,0.256,1.39,0.918,1.932
1972,101,"LFPowell",1.172,0.196,1.163,0.803,1.576
1973,101,"LFPowell",1.159,0.192,1.155,0.796,1.548
1974,101,"LFPowell",1.096,0.204,1.094,0.708,1.507
1975,101,"LFPowell",0.922,0.177,0.92,0.581,1.277
1976,101,"LFPowell",0.679,0.166,0.679,0.366,1.013
1977,101,"LFPowell",0.456,0.172,0.453,0.13,0.8
1978,101,"LFPowell",0.828,0.18,0.824,0.48,1.193
1979,101,"LFPowell",0.827,0.173,0.823,0.5,1.17
1980,101,"LFPowell",0.876,0.191,0.872,0.513,1.262
1981,101,"LFPowell",1.041,0.185,1.038,0.691,1.42
1982,101,"LFPowell",1.259,0.198,1.252,0.884,1.656
1983,101,"LFPowell",1.129,0.195,1.123,0.755,1.53
1984,101,"LFPowell",0.855,0.2,0.851,0.475,1.252
1985,101,"LFPowell",0.944,0.183,0.941,0.595,1.309
1986,101,"LFPowell",0.886,0.188,0.881,0.528,1.266
2016,115,"NMGorsuch",1.142,0.361,1.135,0.453,1.863
2017,115,"NMGorsuch",1.073,0.276,1.064,0.561,1.644
2018,115,"NMGorsuch",0.996,0.259,0.991,0.502,1.513
2019,115,"NMGorsuch",0.953,0.255,0.947,0.461,1.471
2020,115,"NMGorsuch",1.121,0.269,1.113,0.62,1.674
2021,115,"NMGorsuch",1.049,0.294,1.038,0.5,1.642
1937,76,"OJRoberts",0.015,0.23,0.013,-0.435,0.471
1938,76,"OJRoberts",0.354,0.196,0.35,-0.02,0.746
1939,76,"OJRoberts",1.01,0.225,1.008,0.584,1.469
1940,76,"OJRoberts",1.652,0.27,1.644,1.156,2.206
1941,76,"OJRoberts",1.856,0.315,1.848,1.264,2.502
1942,76,"OJRoberts",2.102,0.34,2.087,1.475,2.815
1943,76,"OJRoberts",2.423,0.365,2.41,1.761,3.187
1944,76,"OJRoberts",2.759,0.406,2.741,2.018,3.591
1937,72,"PButler",2.069,0.429,2.042,1.304,2.98
1938,72,"PButler",2.376,0.432,2.344,1.613,3.307
1958,94,"PStewart",0.833,0.198,0.827,0.456,1.233
1959,94,"PStewart",0.577,0.168,0.574,0.258,0.912
1960,94,"PStewart",0.453,0.169,0.45,0.126,0.791
1961,94,"PStewart",0.264,0.176,0.263,-0.077,0.619
1962,94,"PStewart",0.265,0.155,0.263,-0.034,0.57
1963,94,"PStewart",0.162,0.146,0.161,-0.119,0.452
1964,94,"PStewart",0.362,0.187,0.363,0.003,0.734
1965,94,"PStewart",0.502,0.177,0.497,0.165,0.857
1966,94,"PStewart",0.594,0.163,0.589,0.289,0.92
1967,94,"PStewart",-0.098,0.142,-0.099,-0.377,0.184
1968,94,"PStewart",0.341,0.169,0.342,0.015,0.676
1969,94,"PStewart",0.456,0.176,0.455,0.117,0.809
1970,94,"PStewart",0.484,0.168,0.48,0.162,0.824
1971,94,"PStewart",0.09,0.151,0.088,-0.205,0.385
1972,94,"PStewart",0.137,0.143,0.135,-0.139,0.424
1973,94,"PStewart",0.49,0.15,0.488,0.201,0.787
1974,94,"PStewart",0.355,0.171,0.352,0.03,0.703
1975,94,"PStewart",0.491,0.155,0.489,0.189,0.797
1976,94,"PStewart",0.473,0.157,0.469,0.171,0.794
1977,94,"PStewart",0.315,0.166,0.312,-0.004,0.644
1978,94,"PStewart",0.509,0.166,0.507,0.197,0.845
1979,94,"PStewart",0.486,0.162,0.484,0.176,0.805
1980,94,"PStewart",0.731,0.208,0.728,0.331,1.155
1993,109,"RBGinsburg",-0.211,0.221,-0.211,-0.645,0.217
1994,109,"RBGinsburg",-0.448,0.202,-0.443,-0.85,-0.063
1995,109,"RBGinsburg",-0.534,0.206,-0.529,-0.94,-0.137
1996,109,"RBGinsburg",-0.601,0.208,-0.596,-1.017,-0.201
1997,109,"RBGinsburg",-0.732,0.221,-0.73,-1.171,-0.309
1998,109,"RBGinsburg",-0.798,0.222,-0.793,-1.245,-0.375
1999,109,"RBGinsburg",-1.251,0.243,-1.244,-1.746,-0.788
2000,109,"RBGinsburg",-1.494,0.264,-1.487,-2.035,-0.992
2001,109,"RBGinsburg",-1.615,0.279,-1.604,-2.173,-1.095
2002,109,"RBGinsburg",-1.679,0.293,-1.672,-2.263,-1.116
2003,109,"RBGinsburg",-1.757,0.294,-1.751,-2.353,-1.201
2004,109,"RBGinsburg",-1.686,0.301,-1.677,-2.302,-1.127
2005,109,"RBGinsburg",-1.569,0.304,-1.557,-2.193,-1.002
2006,109,"RBGinsburg",-1.685,0.292,-1.677,-2.279,-1.137
2007,109,"RBGinsburg",-1.684,0.296,-1.675,-2.286,-1.122
2008,109,"RBGinsburg",-1.734,0.289,-1.724,-2.324,-1.182
2009,109,"RBGinsburg",-1.689,0.317,-1.678,-2.342,-1.101
2010,109,"RBGinsburg",-2.092,0.333,-2.083,-2.775,-1.465
2011,109,"RBGinsburg",-2.375,0.345,-2.37,-3.077,-1.72
2012,109,"RBGinsburg",-2.473,0.375,-2.464,-3.245,-1.771
2013,109,"RBGinsburg",-2.47,0.403,-2.453,-3.279,-1.713
2014,109,"RBGinsburg",-2.564,0.414,-2.552,-3.417,-1.788
2015,109,"RBGinsburg",-2.68,0.417,-2.662,-3.549,-1.906
2016,109,"RBGinsburg",-2.784,0.427,-2.771,-3.677,-1.985
2017,109,"RBGinsburg",-2.84,0.44,-2.819,-3.749,-2.034
2018,109,"RBGinsburg",-2.884,0.469,-2.861,-3.864,-2.029
2019,109,"RBGinsburg",-2.876,0.531,-2.858,-3.972,-1.903
1941,84,"RHJackson",0.205,0.216,0.2,-0.209,0.641
1942,84,"RHJackson",0.241,0.18,0.24,-0.108,0.593
1943,84,"RHJackson",0.135,0.175,0.135,-0.205,0.484
1944,84,"RHJackson",0.205,0.177,0.203,-0.128,0.561
1945,84,"RHJackson",0.631,0.271,0.628,0.108,1.156
1946,84,"RHJackson",1.061,0.225,1.056,0.637,1.515
1947,84,"RHJackson",1.206,0.23,1.199,0.773,1.673
1948,84,"RHJackson",1.284,0.232,1.277,0.849,1.766
1949,84,"RHJackson",0.856,0.312,0.831,0.307,1.52
1950,84,"RHJackson",0.786,0.237,0.779,0.338,1.276
1951,84,"RHJackson",0.713,0.209,0.71,0.317,1.138
1952,84,"RHJackson",0.897,0.22,0.891,0.482,1.347
1953,84,"RHJackson",0.849,0.272,0.843,0.343,1.4
2005,112,"SAAlito",1.422,0.358,1.413,0.75,2.173
2006,112,"SAAlito",1.456,0.298,1.444,0.899,2.07
2007,112,"SAAlito",1.548,0.291,1.538,1.001,2.136
2008,112,"SAAlito",1.815,0.292,1.809,1.27,2.406
2009,112,"SAAlito",1.844,0.31,1.838,1.265,2.473
2010,112,"SAAlito",1.984,0.321,1.977,1.365,2.629
2011,112,"SAAlito",1.998,0.327,1.99,1.39,2.665
2012,112,"SAAlito",1.99,0.33,1.976,1.382,2.663
2013,112,"SAAlito",1.934,0.336,1.929,1.294,2.619
2014,112,"SAAlito",1.766,0.325,1.754,1.16,2.441
2015,112,"SAAlito",1.679,0.344,1.665,1.043,2.379
2016,112,"SAAlito",1.889,0.343,1.879,1.246,2.597
2017,112,"SAAlito",2.115,0.344,2.098,1.473,2.832
2018,112,"SAAlito",2.089,0.367,2.076,1.403,2.85
2019,112,"SAAlito",2.344,0.382,2.328,1.645,3.126
2020,112,"SAAlito",2.449,0.418,2.436,1.676,3.305
2021,112,"SAAlito",2.473,0.466,2.454,1.613,3.446
1981,104,"SDOConnor",1.669,0.265,1.658,1.182,2.225
1982,104,"SDOConnor",1.818,0.247,1.812,1.359,2.329
1983,104,"SDOConnor",1.774,0.241,1.77,1.313,2.26
1984,104,"SDOConnor",1.583,0.235,1.576,1.136,2.059
1985,104,"SDOConnor",1.376,0.217,1.372,0.968,1.819
1986,104,"SDOConnor",1.455,0.209,1.451,1.058,1.88
1987,104,"SDOConnor",1.613,0.233,1.61,1.166,2.081
1988,104,"SDOConnor",1.541,0.231,1.535,1.108,2.009
1989,104,"SDOConnor",1.539,0.222,1.533,1.123,1.99
1990,104,"SDOConnor",1.147,0.211,1.143,0.752,1.566
1991,104,"SDOConnor",0.7,0.198,0.699,0.319,1.1
1992,104,"SDOConnor",0.854,0.214,0.85,0.442,1.285
1993,104,"SDOConnor",1.016,0.222,1.012,0.596,1.461
1994,104,"SDOConnor",0.837,0.215,0.833,0.43,1.274
1995,104,"SDOConnor",0.869,0.217,0.863,0.461,1.311
1996,104,"SDOConnor",0.987,0.222,0.983,0.568,1.434
1997,104,"SDOConnor",1.096,0.233,1.092,0.646,1.565
1998,104,"SDOConnor",0.999,0.224,0.995,0.57,1.442
1999,104,"SDOConnor",0.89,0.218,0.886,0.474,1.327
2000,104,"SDOConnor",0.601,0.2,0.598,0.217,1.015
2001,104,"SDOConnor",0.372,0.202,0.37,-0.015,0.781
2002,104,"SDOConnor",0.262,0.217,0.259,-0.156,0.695
2003,104,"SDOConnor",0.224,0.204,0.223,-0.171,0.63
2004,104,"SDOConnor",0.119,0.232,0.116,-0.337,0.587
2005,104,"SDOConnor",0.074,0.351,0.069,-0.597,0.775
1937,79,"SFReed",-1.032,0.341,-1.024,-1.723,-0.374
1938,79,"SFReed",-1.119,0.255,-1.111,-1.638,-0.64
1939,79,"SFReed",-1.054,0.234,-1.047,-1.534,-0.609
1940,79,"SFReed",-0.731,0.205,-0.727,-1.155,-0.346
1941,79,"SFReed",-0.27,0.186,-0.269,-0.647,0.084
1942,79,"SFReed",0.156,0.174,0.154,-0.184,0.503
1943,79,"SFReed",0.153,0.174,0.154,-0.189,0.495
1944,79,"SFReed",-0.076,0.163,-0.076,-0.401,0.243
1945,79,"SFReed",0.08,0.192,0.08,-0.297,0.456
1946,79,"SFReed",0.299,0.17,0.297,-0.025,0.64
1947,79,"SFReed",0.539,0.18,0.537,0.197,0.895
1948,79,"SFReed",0.698,0.195,0.696,0.329,1.092
1949,79,"SFReed",1.095,0.26,1.095,0.589,1.602
1950,79,"SFReed",1.22,0.26,1.212,0.725,1.751
1951,79,"SFReed",1.303,0.252,1.297,0.824,1.818
1952,79,"SFReed",1.381,0.253,1.373,0.908,1.894
1953,79,"SFReed",1.519,0.266,1.513,1.013,2.057
1954,79,"SFReed",1.498,0.258,1.493,1.003,2.025
1955,79,"SFReed",1.057,0.246,1.049,0.6,1.563
1956,79,"SFReed",0.795,0.29,0.786,0.252,1.389
1994,110,"SGBreyer",-0.33,0.225,-0.324,-0.791,0.095
1995,110,"SGBreyer",-0.506,0.208,-0.502,-0.923,-0.108
1996,110,"SGBreyer",-0.75,0.211,-0.746,-1.181,-0.351
1997,110,"SGBreyer",-0.78,0.225,-0.775,-1.227,-0.343
1998,110,"SGBreyer",-0.745,0.213,-0.742,-1.171,-0.339
1999,110,"SGBreyer",-0.778,0.221,-0.771,-1.219,-0.359
2000,110,"SGBreyer",-1.235,0.237,-1.231,-1.707,-0.777
2001,110,"SGBreyer",-1.311,0.251,-1.305,-1.821,-0.838
2002,110,"SGBreyer",-1.313,0.269,-1.308,-1.848,-0.803
2003,110,"SGBreyer",-1.232,0.258,-1.227,-1.753,-0.753
2004,110,"SGBreyer",-1.068,0.256,-1.06,-1.596,-0.587
2005,110,"SGBreyer",-1.234,0.262,-1.227,-1.763,-0.739
2006,110,"SGBreyer",-1.361,0.257,-1.353,-1.891,-0.875
2007,110,"SGBreyer",-1.281,0.266,-1.276,-1.815,-0.779
2008,110,"SGBreyer",-1.188,0.248,-1.178,-1.691,-0.72
2009,110,"SGBreyer",-1.332,0.262,-1.326,-1.864,-0.837
2010,110,"SGBreyer",-1.406,0.27,-1.399,-1.954,-0.894
2011,110,"SGBreyer",-1.405,0.272,-1.399,-1.957,-0.887
2012,110,"SGBreyer",-1.395,0.284,-1.39,-1.962,-0.859
2013,110,"SGBreyer",-1.474,0.303,-1.471,-2.08,-0.886
2014,110,"SGBreyer",-1.579,0.302,-1.57,-2.208,-1.019
2015,110,"SGBreyer",-1.497,0.314,-1.487,-2.133,-0.911
2016,110,"SGBreyer",-1.575,0.315,-1.57,-2.211,-0.982
2017,110,"SGBreyer",-1.797,0.305,-1.785,-2.424,-1.222
2018,110,"SGBreyer",-1.884,0.322,-1.875,-2.546,-1.272
2019,110,"SGBreyer",-1.977,0.341,-1.97,-2.673,-1.335
2020,110,"SGBreyer",-2.075,0.366,-2.064,-2.816,-1.383
2021,110,"SGBreyer",-2.051,0.411,-2.038,-2.914,-1.289
1949,89,"SMinton",1.224,0.355,1.212,0.546,1.946
1950,89,"SMinton",1.37,0.295,1.36,0.826,1.972
1951,89,"SMinton",1.467,0.265,1.46,0.968,2.015
1952,89,"SMinton",1.28,0.235,1.273,0.84,1.762
1953,89,"SMinton",0.894,0.234,0.887,0.456,1.369
1954,89,"SMinton",0.895,0.23,0.892,0.462,1.355
1955,89,"SMinton",0.877,0.241,0.871,0.427,1.372
1956,89,"SMinton",0.841,0.382,0.832,0.101,1.611
2009,113,"SSotomayor",-1.625,0.358,-1.613,-2.37,-0.959
2010,113,"SSotomayor",-1.71,0.338,-1.695,-2.408,-1.086
2011,113,"SSotomayor",-1.895,0.355,-1.876,-2.626,-1.24
2012,113,"SSotomayor",-2.357,0.386,-2.348,-3.154,-1.642
2013,113,"SSotomayor",-2.686,0.424,-2.673,-3.541,-1.895
2014,113,"SSotomayor",-2.995,0.447,-2.984,-3.905,-2.157
2015,113,"SSotomayor",-3.25,0.475,-3.238,-4.222,-2.368
2016,113,"SSotomayor",-3.462,0.497,-3.449,-4.477,-2.546
2017,113,"SSotomayor",-3.698,0.52,-3.68,-4.771,-2.731
2018,113,"SSotomayor",-3.833,0.552,-3.81,-4.99,-2.814
2019,113,"SSotomayor",-3.947,0.589,-3.915,-5.169,-2.885
2020,113,"SSotomayor",-4.07,0.631,-4.044,-5.371,-2.917
2021,113,"SSotomayor",-4.137,0.676,-4.116,-5.532,-2.884
1949,88,"TCClark",1.069,0.343,1.059,0.427,1.774
1950,88,"TCClark",1.117,0.288,1.107,0.578,1.708
1951,88,"TCClark",1.198,0.248,1.195,0.725,1.704
1952,88,"TCClark",1.166,0.223,1.161,0.74,1.623
1953,88,"TCClark",0.605,0.21,0.603,0.203,1.021
1954,88,"TCClark",0.15,0.2,0.149,-0.237,0.551
1955,88,"TCClark",0.026,0.185,0.026,-0.336,0.389
1956,88,"TCClark",0.164,0.167,0.162,-0.161,0.492
1957,88,"TCClark",0.584,0.161,0.582,0.275,0.906
1958,88,"TCClark",0.53,0.174,0.529,0.203,0.875
1959,88,"TCClark",0.349,0.16,0.347,0.04,0.668
1960,88,"TCClark",0.758,0.179,0.758,0.415,1.115
1961,88,"TCClark",0.461,0.18,0.46,0.114,0.815
1962,88,"TCClark",0.335,0.157,0.333,0.028,0.647
1963,88,"TCClark",0.043,0.142,0.042,-0.231,0.33
1964,88,"TCClark",-0.209,0.185,-0.21,-0.569,0.152
1965,88,"TCClark",-0.098,0.169,-0.097,-0.428,0.24
1966,88,"TCClark",0.11,0.165,0.109,-0.214,0.435
1967,98,"TMarshall",-1.162,0.238,-1.153,-1.649,-0.717
1968,98,"TMarshall",-1.095,0.222,-1.09,-1.539,-0.671
1969,98,"TMarshall",-0.951,0.219,-0.946,-1.396,-0.539
1970,98,"TMarshall",-0.966,0.202,-0.961,-1.377,-0.585
1971,98,"TMarshall",-1.078,0.198,-1.074,-1.488,-0.705
1972,98,"TMarshall",-1.365,0.205,-1.361,-1.785,-0.972
1973,98,"TMarshall",-1.473,0.217,-1.466,-1.916,-1.063
1974,98,"TMarshall",-1.493,0.246,-1.484,-2,-1.03
1975,98,"TMarshall",-2.047,0.263,-2.038,-2.592,-1.567
1976,98,"TMarshall",-2.384,0.297,-2.374,-2.993,-1.829
1977,98,"TMarshall",-2.708,0.337,-2.696,-3.392,-2.073
1978,98,"TMarshall",-3.053,0.36,-3.044,-3.776,-2.373
1979,98,"TMarshall",-3.332,0.377,-3.318,-4.113,-2.617
1980,98,"TMarshall",-3.481,0.403,-3.472,-4.3,-2.728
1981,98,"TMarshall",-3.613,0.43,-3.6,-4.499,-2.814
1982,98,"TMarshall",-3.786,0.446,-3.774,-4.709,-2.958
1983,98,"TMarshall",-3.877,0.469,-3.86,-4.848,-2.998
1984,98,"TMarshall",-3.954,0.495,-3.942,-4.969,-3.035
1985,98,"TMarshall",-4.077,0.502,-4.06,-5.098,-3.137
1986,98,"TMarshall",-4.282,0.508,-4.264,-5.344,-3.347
1987,98,"TMarshall",-4.432,0.533,-4.403,-5.558,-3.465
1988,98,"TMarshall",-4.491,0.566,-4.46,-5.688,-3.453
1989,98,"TMarshall",-4.469,0.612,-4.431,-5.738,-3.361
1990,98,"TMarshall",-4.326,0.703,-4.301,-5.795,-3.036
1942,85,"WBRutledge",-1.137,0.298,-1.132,-1.749,-0.575
1943,85,"WBRutledge",-1.16,0.234,-1.155,-1.633,-0.722
1944,85,"WBRutledge",-1.382,0.226,-1.375,-1.839,-0.959
1945,85,"WBRutledge",-1.199,0.264,-1.193,-1.731,-0.698
1946,85,"WBRutledge",-1.442,0.253,-1.435,-1.954,-0.967
1947,85,"WBRutledge",-1.762,0.276,-1.75,-2.329,-1.253
1948,85,"WBRutledge",-1.846,0.321,-1.828,-2.515,-1.253
1969,99,"WEBurger",1.988,0.35,1.976,1.348,2.721
1970,99,"WEBurger",2.185,0.315,2.173,1.598,2.842
1971,99,"WEBurger",2.41,0.285,2.404,1.876,2.986
1972,99,"WEBurger",2.2,0.273,2.192,1.694,2.751
1973,99,"WEBurger",2.209,0.265,2.204,1.712,2.742
1974,99,"WEBurger",2.117,0.27,2.11,1.605,2.663
1975,99,"WEBurger",1.976,0.258,1.97,1.483,2.491
1976,99,"WEBurger",1.925,0.244,1.923,1.461,2.426
1977,99,"WEBurger",1.528,0.239,1.519,1.071,2.025
1978,99,"WEBurger",1.406,0.22,1.4,0.994,1.852
1979,99,"WEBurger",1.248,0.21,1.241,0.856,1.676
1980,99,"WEBurger",1.516,0.23,1.508,1.08,1.982
1981,99,"WEBurger",1.699,0.23,1.692,1.263,2.17
1982,99,"WEBurger",1.589,0.24,1.582,1.132,2.073
1983,99,"WEBurger",1.818,0.256,1.812,1.336,2.335
1984,99,"WEBurger",2.119,0.285,2.113,1.584,2.705
1985,99,"WEBurger",2.235,0.326,2.221,1.626,2.901
1971,102,"WHRehnquist",3.583,0.363,3.58,2.871,4.293
1972,102,"WHRehnquist",3.995,0.384,3.985,3.256,4.776
1973,102,"WHRehnquist",4.265,0.407,4.258,3.485,5.093
1974,102,"WHRehnquist",4.366,0.438,4.355,3.538,5.239
1975,102,"WHRehnquist",4.474,0.453,4.465,3.62,5.386
1976,102,"WHRehnquist",4.448,0.478,4.438,3.552,5.409
1977,102,"WHRehnquist",4.451,0.495,4.438,3.511,5.43
1978,102,"WHRehnquist",4.482,0.491,4.469,3.56,5.457
1979,102,"WHRehnquist",4.511,0.48,4.502,3.614,5.475
1980,102,"WHRehnquist",4.37,0.484,4.354,3.471,5.353
1981,102,"WHRehnquist",4.221,0.482,4.211,3.3,5.19
1982,102,"WHRehnquist",4.153,0.461,4.139,3.285,5.1
1983,102,"WHRehnquist",4.058,0.443,4.043,3.23,4.968
1984,102,"WHRehnquist",3.83,0.428,3.817,3.023,4.702
1985,102,"WHRehnquist",3.617,0.406,3.605,2.857,4.457
1986,102,"WHRehnquist",3.353,0.379,3.34,2.65,4.13
1987,102,"WHRehnquist",2.905,0.385,2.891,2.185,3.696
1988,102,"WHRehnquist",2.775,0.351,2.765,2.103,3.496
1989,102,"WHRehnquist",2.621,0.333,2.612,1.996,3.3
1990,102,"WHRehnquist",2.4,0.32,2.391,1.802,3.061
1991,102,"WHRehnquist",2.129,0.313,2.113,1.554,2.772
1992,102,"WHRehnquist",2.066,0.308,2.058,1.486,2.693
1993,102,"WHRehnquist",1.875,0.3,1.868,1.313,2.477
1994,102,"WHRehnquist",1.874,0.286,1.869,1.33,2.452
1995,102,"WHRehnquist",1.844,0.281,1.834,1.321,2.419
1996,102,"WHRehnquist",1.697,0.282,1.69,1.17,2.276
1997,102,"WHRehnquist",1.671,0.283,1.663,1.144,2.249
1998,102,"WHRehnquist",1.881,0.28,1.873,1.353,2.448
1999,102,"WHRehnquist",1.743,0.283,1.738,1.208,2.32
2000,102,"WHRehnquist",1.677,0.27,1.67,1.173,2.225
2001,102,"WHRehnquist",1.431,0.275,1.423,0.921,1.983
2002,102,"WHRehnquist",1.262,0.277,1.257,0.734,1.831
2003,102,"WHRehnquist",1.397,0.286,1.388,0.864,1.995
2004,102,"WHRehnquist",1.464,0.34,1.452,0.836,2.164
1956,92,"WJBrennan",-0.695,0.207,-0.692,-1.11,-0.306
1957,92,"WJBrennan",-0.811,0.179,-0.808,-1.172,-0.47
1958,92,"WJBrennan",-0.847,0.19,-0.844,-1.23,-0.485
1959,92,"WJBrennan",-0.928,0.19,-0.925,-1.31,-0.569
1960,92,"WJBrennan",-0.881,0.189,-0.878,-1.262,-0.522
1961,92,"WJBrennan",-0.851,0.204,-0.846,-1.261,-0.455
1962,92,"WJBrennan",-1.241,0.2,-1.236,-1.643,-0.861
1963,92,"WJBrennan",-1.225,0.199,-1.217,-1.623,-0.852
1964,92,"WJBrennan",-1.04,0.219,-1.033,-1.485,-0.627
1965,92,"WJBrennan",-1.132,0.211,-1.128,-1.556,-0.73
1966,92,"WJBrennan",-1.15,0.195,-1.145,-1.549,-0.777
1967,92,"WJBrennan",-1.249,0.199,-1.243,-1.648,-0.869
1968,92,"WJBrennan",-1.078,0.21,-1.072,-1.508,-0.682
1969,92,"WJBrennan",-0.939,0.211,-0.933,-1.372,-0.549
1970,92,"WJBrennan",-1.053,0.203,-1.049,-1.467,-0.677
1971,92,"WJBrennan",-1.186,0.206,-1.179,-1.598,-0.796
1972,92,"WJBrennan",-1.417,0.214,-1.411,-1.848,-1.014
1973,92,"WJBrennan",-1.733,0.233,-1.724,-2.214,-1.292
1974,92,"WJBrennan",-1.931,0.269,-1.923,-2.476,-1.435
1975,92,"WJBrennan",-2.429,0.289,-2.422,-3.028,-1.892
1976,92,"WJBrennan",-2.657,0.302,-2.651,-3.274,-2.094
1977,92,"WJBrennan",-2.664,0.324,-2.658,-3.314,-2.047
1978,92,"WJBrennan",-2.571,0.317,-2.568,-3.215,-1.97
1979,92,"WJBrennan",-2.478,0.304,-2.468,-3.089,-1.908
1980,92,"WJBrennan",-2.341,0.302,-2.334,-2.96,-1.774
1981,92,"WJBrennan",-2.335,0.29,-2.327,-2.932,-1.799
1982,92,"WJBrennan",-2.119,0.3,-2.11,-2.724,-1.557
1983,92,"WJBrennan",-2.437,0.3,-2.431,-3.034,-1.875
1984,92,"WJBrennan",-2.573,0.315,-2.562,-3.218,-1.978
1985,92,"WJBrennan",-2.54,0.333,-2.524,-3.226,-1.921
1986,92,"WJBrennan",-2.792,0.336,-2.778,-3.484,-2.167
1987,92,"WJBrennan",-2.913,0.368,-2.904,-3.657,-2.229
1988,92,"WJBrennan",-3.076,0.391,-3.057,-3.9,-2.369
1989,92,"WJBrennan",-3.178,0.438,-3.152,-4.092,-2.369
1938,81,"WODouglas",-2.811,0.493,-2.802,-3.788,-1.875
1939,81,"WODouglas",-3.026,0.443,-3.011,-3.923,-2.199
1940,81,"WODouglas",-3.154,0.398,-3.14,-3.973,-2.41
1941,81,"WODouglas",-3.102,0.369,-3.093,-3.846,-2.41
1942,81,"WODouglas",-2.826,0.345,-2.818,-3.522,-2.179
1943,81,"WODouglas",-2.48,0.324,-2.47,-3.14,-1.869
1944,81,"WODouglas",-1.999,0.306,-1.989,-2.636,-1.423
1945,81,"WODouglas",-1.741,0.296,-1.729,-2.344,-1.193
1946,81,"WODouglas",-1.422,0.264,-1.408,-1.968,-0.942
1947,81,"WODouglas",-1.503,0.263,-1.492,-2.048,-1.015
1948,81,"WODouglas",-1.664,0.269,-1.654,-2.219,-1.167
1949,81,"WODouglas",-1.473,0.33,-1.463,-2.144,-0.855
1950,81,"WODouglas",-1.279,0.332,-1.259,-1.991,-0.689
1951,81,"WODouglas",-1.502,0.348,-1.48,-2.263,-0.894
1952,81,"WODouglas",-2.166,0.375,-2.144,-2.96,-1.498
1953,81,"WODouglas",-2.896,0.419,-2.883,-3.763,-2.128
1954,81,"WODouglas",-3.594,0.446,-3.581,-4.501,-2.762
1955,81,"WODouglas",-4.166,0.484,-4.154,-5.156,-3.257
1956,81,"WODouglas",-4.67,0.51,-4.652,-5.712,-3.726
1957,81,"WODouglas",-5.082,0.545,-5.068,-6.195,-4.055
1958,81,"WODouglas",-5.457,0.578,-5.44,-6.634,-4.381
1959,81,"WODouglas",-5.759,0.621,-5.744,-7.002,-4.581
1960,81,"WODouglas",-6.027,0.667,-6.008,-7.407,-4.764
1961,81,"WODouglas",-6.273,0.709,-6.251,-7.726,-4.925
1962,81,"WODouglas",-6.493,0.75,-6.473,-8.047,-5.06
1963,81,"WODouglas",-6.696,0.792,-6.682,-8.304,-5.177
1964,81,"WODouglas",-6.924,0.82,-6.91,-8.581,-5.387
1965,81,"WODouglas",-7.136,0.842,-7.121,-8.861,-5.547
1966,81,"WODouglas",-7.309,0.872,-7.288,-9.091,-5.666
1967,81,"WODouglas",-7.463,0.902,-7.44,-9.347,-5.777
1968,81,"WODouglas",-7.585,0.937,-7.557,-9.567,-5.832
1969,81,"WODouglas",-7.664,0.965,-7.623,-9.735,-5.868
1970,81,"WODouglas",-7.735,0.996,-7.692,-9.904,-5.884
1971,81,"WODouglas",-7.798,1.026,-7.761,-10.037,-5.885
1972,81,"WODouglas",-7.828,1.06,-7.769,-10.11,-5.847
1973,81,"WODouglas",-7.87,1.09,-7.818,-10.197,-5.842
1974,81,"WODouglas",-7.923,1.116,-7.874,-10.298,-5.838
1975,81,"WODouglas",-7.929,1.155,-7.881,-10.379,-5.755
